attendance,studentUniqueStateId,firstName,middleName,lastSurname,reason,schoolYear,date,event
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-12-01,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-06,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-31,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-12-14,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-19,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-24,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-07,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-28,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-08,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-26,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-02,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-29,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-12,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-14,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-12-13,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-20,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-03,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-11,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-29,In Attendance
0,800000027,Felipe,,Wierzbicki,Absent excused,2011-2012,2011-10-10,Excused Absence
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-14,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-12-16,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-13,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-23,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-06,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-27,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-24,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-04,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-12-02,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-26,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-25,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-21,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-11-08,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-09-14,In Attendance
1,800000027,Felipe,,Wierzbicki,,2011-2012,2011-10-25,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-19,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-13,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-11,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-16,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-20,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-16,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-08,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-08,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-24,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-02,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-12,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-01,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-23,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-06,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-05,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-09,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-09,In Attendance
0,800000024,Oralia,Nicole,Simmer,Absent excused,2011-2012,2011-09-19,Excused Absence
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-11,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-10,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-05,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-06,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-23,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-29,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-17,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-27,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-08,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-14,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-06,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-01,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-26,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-22,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-14,In Attendance
0,800000024,Oralia,Nicole,Simmer,Absent excused,2011-2012,2011-11-21,Excused Absence
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-18,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-24,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-21,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-07,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-02,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-15,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-12,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-03,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-31,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-26,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-25,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-27,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-13,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-30,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-14,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-10,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-25,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-28,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-29,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-04,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-14,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-18,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-13,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-15,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-03,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-20,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-12,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-07,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-17,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-12-07,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-30,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-22,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-15,In Attendance
0,800000024,Oralia,Nicole,Simmer,Absent excused,2011-2012,2011-09-21,Excused Absence
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-07,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-11-28,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-28,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-16,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-09-09,In Attendance
1,800000024,Oralia,Nicole,Simmer,,2011-2012,2011-10-04,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-21,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-01,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-15,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-28,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-08,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-05,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-01,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-22,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-29,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-20,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-14,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-24,In Attendance
0,800000006,Felipe,Melvin,Cianciolo,Absent excused,2011-2012,2011-10-03,Excused Absence
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-14,In Attendance
0,800000006,Felipe,Melvin,Cianciolo,Absent excused,2011-2012,2011-12-02,Excused Absence
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-29,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-15,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-08,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-18,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-14,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-21,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-07,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-09,In Attendance
0,800000006,Felipe,Melvin,Cianciolo,Absent excused,2011-2012,2011-10-07,Excused Absence
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-16,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-27,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-09,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-15,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-06,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-18,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-30,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-08,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-26,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-06,In Attendance
0,800000006,Felipe,Melvin,Cianciolo,Absent excused,2011-2012,2011-09-22,Excused Absence
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-14,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-30,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-11,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-17,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-07,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-12,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-12,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-04,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-26,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-16,In Attendance
0,800000006,Felipe,Melvin,Cianciolo,Absent excused,2011-2012,2011-09-12,Excused Absence
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-27,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-05,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-06,In Attendance
0,800000006,Felipe,Melvin,Cianciolo,Absent excused,2011-2012,2011-10-25,Excused Absence
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-23,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-17,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-13,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-07,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-13,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-09,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-24,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-21,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-31,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-19,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-25,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-02,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-10,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-13,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-12-16,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-10,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-20,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-19,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-11,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-28,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-11-03,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-09-23,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-28,In Attendance
1,800000006,Felipe,Melvin,Cianciolo,,2011-2012,2011-10-04,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-17,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-26,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-06,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-15,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-13,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-29,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-15,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-23,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-31,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-11,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-28,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-22,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-24,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-12,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-03,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-21,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-07,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-20,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-14,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-20,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-28,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-19,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-25,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-21,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-03,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-07,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-01,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-10,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-13,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-07,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-05,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-24,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-01,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-12,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-14,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-09,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-04,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-28,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-23,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-11,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-13,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-08,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-21,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-18,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-10,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-06,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-16,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-14,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-02,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-08,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-18,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-30,In Attendance
0,800000007,Tomasa,,Cleaveland,Absent excused,2011-2012,2011-10-12,Excused Absence
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-26,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-17,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-30,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-16,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-09,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-08,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-09,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-02,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-04,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-19,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-22,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-25,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-07,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-05,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-14,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-09-27,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-29,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-15,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-11-16,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-10-27,In Attendance
1,800000007,Tomasa,,Cleaveland,,2011-2012,2011-12-06,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-26,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-28,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-25,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-08,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-15,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-27,In Attendance
0,800000020,Gerardo,,Rounsaville,Absent excused,2011-2012,2011-10-03,Excused Absence
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-07,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-30,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-12,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-13,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-24,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-05,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-21,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-14,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-04,In Attendance
0,800000020,Gerardo,,Rounsaville,Absent excused,2011-2012,2011-10-17,Excused Absence
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-06,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-03,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-27,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-20,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-20,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-23,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-25,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-22,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-02,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-26,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-12,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-09,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-01,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-28,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-14,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-22,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-11-11,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-09-09,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-09,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-16,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-07,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-05,In Attendance
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-10-31,In Attendance
0,800000020,Gerardo,,Rounsaville,Absent excused,2011-2012,2011-11-01,Excused Absence
1,800000020,Gerardo,,Rounsaville,,2011-2012,2011-12-12,In Attendance
